,CalYear,IncGeo_BoroughName,Count
0,2009, NOT GEO-CODED,638
1,2009,BARKING AND DAGENHAM,2957
2,2009,BARNET,4124
3,2009,BEXLEY,2726
4,2009,BRENT,3593
5,2009,BROMLEY,3504
6,2009,CAMDEN,7524
7,2009,CITY OF LONDON,1683
8,2009,CROYDON,4480
9,2009,EALING,4412
10,2009,ENFIELD,4279
11,2009,GREENWICH,3843
12,2009,HACKNEY,5499
13,2009,HAMMERSMITH AND FULHAM,3875
14,2009,HARINGEY,3320
15,2009,HARROW,2310
16,2009,HAVERING,2576
17,2009,HILLINGDON,4396
18,2009,HOUNSLOW,3214
19,2009,ISLINGTON,4436
20,2009,KENSINGTON AND CHELSEA,4103
21,2009,KINGSTON UPON THAMES,2106
22,2009,LAMBETH,5696
23,2009,LEWISHAM,4239
24,2009,MERTON,2008
25,2009,NEWHAM,4747
26,2009,REDBRIDGE,3072
27,2009,RICHMOND UPON THAMES,1974
28,2009,SOUTHWARK,6882
29,2009,SUTTON,2028
30,2009,TOWER HAMLETS,7255
31,2009,WALTHAM FOREST,3328
32,2009,WANDSWORTH,4171
33,2009,WESTMINSTER,10018
34,2010, NOT GEO-CODED,445
35,2010,BARKING AND DAGENHAM,2696
36,2010,BARNET,3886
37,2010,BEXLEY,2410
38,2010,BRENT,3304
39,2010,BROMLEY,3215
40,2010,CAMDEN,6974
41,2010,CITY OF LONDON,1402
42,2010,CROYDON,4211
43,2010,EALING,3804
44,2010,ENFIELD,4056
45,2010,GREENWICH,3738
46,2010,HACKNEY,5044
47,2010,HAMMERSMITH AND FULHAM,3714
48,2010,HARINGEY,3254
49,2010,HARROW,2120
50,2010,HAVERING,2558
51,2010,HILLINGDON,4105
52,2010,HOUNSLOW,2888
53,2010,ISLINGTON,3917
54,2010,KENSINGTON AND CHELSEA,3827
55,2010,KINGSTON UPON THAMES,2054
56,2010,LAMBETH,5279
57,2010,LEWISHAM,4031
58,2010,MERTON,2039
59,2010,NEWHAM,4480
60,2010,REDBRIDGE,2892
61,2010,RICHMOND UPON THAMES,1901
62,2010,SOUTHWARK,6241
63,2010,SUTTON,1868
64,2010,TOWER HAMLETS,6334
65,2010,WALTHAM FOREST,3333
66,2010,WANDSWORTH,4051
67,2010,WESTMINSTER,9429
68,2011, NOT GEO-CODED,518
69,2011,BARKING AND DAGENHAM,2433
70,2011,BARNET,3707
71,2011,BEXLEY,2114
72,2011,BRENT,3115
73,2011,BROMLEY,3081
74,2011,CAMDEN,6209
75,2011,CITY OF LONDON,1325
76,2011,CROYDON,4038
77,2011,EALING,3590
78,2011,ENFIELD,3676
79,2011,GREENWICH,3589
80,2011,HACKNEY,4677
81,2011,HAMMERSMITH AND FULHAM,3327
82,2011,HARINGEY,2979
83,2011,HARROW,2089
84,2011,HAVERING,2464
85,2011,HILLINGDON,4023
86,2011,HOUNSLOW,2620
87,2011,ISLINGTON,3692
88,2011,KENSINGTON AND CHELSEA,3362
89,2011,KINGSTON UPON THAMES,1896
90,2011,LAMBETH,5157
91,2011,LEWISHAM,3790
92,2011,MERTON,1817
93,2011,NEWHAM,3731
94,2011,REDBRIDGE,2680
95,2011,RICHMOND UPON THAMES,1713
96,2011,SOUTHWARK,5680
97,2011,SUTTON,1784
98,2011,TOWER HAMLETS,5918
99,2011,WALTHAM FOREST,3112
100,2011,WANDSWORTH,3572
101,2011,WESTMINSTER,8171
102,2012, NOT GEO-CODED,499
103,2012,BARKING AND DAGENHAM,2101
104,2012,BARNET,3511
105,2012,BEXLEY,1962
106,2012,BRENT,3131
107,2012,BROMLEY,2981
108,2012,CAMDEN,5730
109,2012,CITY OF LONDON,1244
110,2012,CROYDON,3757
111,2012,EALING,3663
112,2012,ENFIELD,3412
113,2012,GREENWICH,3162
114,2012,HACKNEY,4391
115,2012,HAMMERSMITH AND FULHAM,3158
116,2012,HARINGEY,2806
117,2012,HARROW,1973
118,2012,HAVERING,2145
119,2012,HILLINGDON,3712
120,2012,HOUNSLOW,2607
121,2012,ISLINGTON,3359
122,2012,KENSINGTON AND CHELSEA,3350
123,2012,KINGSTON UPON THAMES,1811
124,2012,LAMBETH,4783
125,2012,LEWISHAM,3696
126,2012,MERTON,1801
127,2012,NEWHAM,3708
128,2012,REDBRIDGE,2390
129,2012,RICHMOND UPON THAMES,1715
130,2012,SOUTHWARK,5173
131,2012,SUTTON,1662
132,2012,TOWER HAMLETS,5159
133,2012,WALTHAM FOREST,2928
134,2012,WANDSWORTH,3353
135,2012,WESTMINSTER,8057
136,2013, NOT GEO-CODED,550
137,2013,BARKING AND DAGENHAM,2057
138,2013,BARNET,3236
139,2013,BEXLEY,1920
140,2013,BRENT,3013
141,2013,BROMLEY,2922
142,2013,CAMDEN,5459
143,2013,CITY OF LONDON,1196
144,2013,CROYDON,3823
145,2013,EALING,3402
146,2013,ENFIELD,3227
147,2013,GREENWICH,2955
148,2013,HACKNEY,4040
149,2013,HAMMERSMITH AND FULHAM,2827
150,2013,HARINGEY,2656
151,2013,HARROW,1961
152,2013,HAVERING,2151
153,2013,HILLINGDON,3665
154,2013,HOUNSLOW,2521
155,2013,ISLINGTON,3409
156,2013,KENSINGTON AND CHELSEA,3253
157,2013,KINGSTON UPON THAMES,1469
158,2013,LAMBETH,4450
159,2013,LEWISHAM,3566
160,2013,MERTON,1701
161,2013,NEWHAM,3272
162,2013,REDBRIDGE,2354
163,2013,RICHMOND UPON THAMES,1585
164,2013,SOUTHWARK,4898
165,2013,SUTTON,1801
166,2013,TOWER HAMLETS,4607
167,2013,WALTHAM FOREST,2867
168,2013,WANDSWORTH,3162
169,2013,WESTMINSTER,7630
170,2014, NOT GEO-CODED,512
171,2014,BARKING AND DAGENHAM,1929
172,2014,BARNET,2986
173,2014,BEXLEY,1933
174,2014,BRENT,2705
175,2014,BROMLEY,2902
176,2014,CAMDEN,4885
177,2014,CITY OF LONDON,1159
178,2014,CROYDON,3636
179,2014,EALING,3079
180,2014,ENFIELD,2897
181,2014,GREENWICH,2722
182,2014,HACKNEY,3958
183,2014,HAMMERSMITH AND FULHAM,2589
184,2014,HARINGEY,2566
185,2014,HARROW,1761
186,2014,HAVERING,2189
187,2014,HILLINGDON,3129
188,2014,HOUNSLOW,2378
189,2014,ISLINGTON,3249
190,2014,KENSINGTON AND CHELSEA,3058
191,2014,KINGSTON UPON THAMES,1320
192,2014,LAMBETH,4102
193,2014,LEWISHAM,3434
194,2014,MERTON,1608
195,2014,NEWHAM,3093
196,2014,REDBRIDGE,2198
197,2014,RICHMOND UPON THAMES,1641
198,2014,SOUTHWARK,4436
199,2014,SUTTON,1611
200,2014,TOWER HAMLETS,4295
201,2014,WALTHAM FOREST,2531
202,2014,WANDSWORTH,2955
203,2014,WESTMINSTER,7145
204,2015, NOT GEO-CODED,522
205,2015,BARKING AND DAGENHAM,2121
206,2015,BARNET,3266
207,2015,BEXLEY,2044
208,2015,BRENT,2910
209,2015,BROMLEY,2958
210,2015,CAMDEN,4823
211,2015,CITY OF LONDON,1242
212,2015,CROYDON,3456
213,2015,EALING,3202
214,2015,ENFIELD,2944
215,2015,GREENWICH,2795
216,2015,HACKNEY,4009
217,2015,HAMMERSMITH AND FULHAM,2655
218,2015,HARINGEY,2768
219,2015,HARROW,1730
220,2015,HAVERING,2223
221,2015,HILLINGDON,3023
222,2015,HOUNSLOW,2483
223,2015,ISLINGTON,3211
224,2015,KENSINGTON AND CHELSEA,3015
225,2015,KINGSTON UPON THAMES,1345
226,2015,LAMBETH,4160
227,2015,LEWISHAM,3508
228,2015,MERTON,1715
229,2015,NEWHAM,3093
230,2015,REDBRIDGE,2242
231,2015,RICHMOND UPON THAMES,1580
232,2015,SOUTHWARK,4458
233,2015,SUTTON,1602
234,2015,TOWER HAMLETS,4378
235,2015,WALTHAM FOREST,2595
236,2015,WANDSWORTH,2949
237,2015,WESTMINSTER,7328
238,2016, NOT GEO-CODED,599
239,2016,BARKING AND DAGENHAM,2216
240,2016,BARNET,3425
241,2016,BEXLEY,2085
242,2016,BRENT,3093
243,2016,BROMLEY,3180
244,2016,CAMDEN,4955
245,2016,CITY OF LONDON,1159
246,2016,CROYDON,3970
247,2016,EALING,3755
248,2016,ENFIELD,3048
249,2016,GREENWICH,3014
250,2016,HACKNEY,4090
251,2016,HAMMERSMITH AND FULHAM,2830
252,2016,HARINGEY,2956
253,2016,HARROW,1785
254,2016,HAVERING,2301
255,2016,HILLINGDON,3245
256,2016,HOUNSLOW,2722
257,2016,ISLINGTON,3193
258,2016,KENSINGTON AND CHELSEA,3162
259,2016,KINGSTON UPON THAMES,1410
260,2016,LAMBETH,4693
261,2016,LEWISHAM,3616
262,2016,MERTON,2132
263,2016,NEWHAM,3779
264,2016,REDBRIDGE,2434
265,2016,RICHMOND UPON THAMES,1638
266,2016,SOUTHWARK,4658
267,2016,SUTTON,1694
268,2016,TOWER HAMLETS,4551
269,2016,WALTHAM FOREST,2768
270,2016,WANDSWORTH,3445
271,2016,WESTMINSTER,7835
272,2017,BARKING AND DAGENHAM,2187
273,2017,BARNET,3540
274,2017,BEXLEY,2251
275,2017,BRENT,3196
276,2017,BROMLEY,2884
277,2017,CAMDEN,4842
278,2017,CITY OF LONDON,1220
279,2017,CROYDON,3701
280,2017,EALING,3447
281,2017,ENFIELD,3234
282,2017,GREENWICH,3138
283,2017,HACKNEY,3974
284,2017,HAMMERSMITH AND FULHAM,2756
285,2017,HARINGEY,2977
286,2017,HARROW,1850
287,2017,HAVERING,2239
288,2017,HILLINGDON,3150
289,2017,HOUNSLOW,2635
290,2017,ISLINGTON,3379
291,2017,KENSINGTON AND CHELSEA,3330
292,2017,KINGSTON UPON THAMES,1534
293,2017,LAMBETH,4293
294,2017,LEWISHAM,3510
295,2017,MERTON,1819
296,2017,NEWHAM,3492
297,2017,REDBRIDGE,2395
298,2017,RICHMOND UPON THAMES,1761
299,2017,SOUTHWARK,4693
300,2017,SUTTON,1658
301,2017,TOWER HAMLETS,4355
302,2017,WALTHAM FOREST,2846
303,2017,WANDSWORTH,3205
304,2017,WESTMINSTER,8028
305,2018,BARKING AND DAGENHAM,2191
306,2018,BARNET,3575
307,2018,BEXLEY,2313
308,2018,BRENT,3445
309,2018,BROMLEY,2948
310,2018,CAMDEN,4951
311,2018,CITY OF LONDON,1305
312,2018,CROYDON,3951
313,2018,EALING,3541
314,2018,ENFIELD,3308
315,2018,GREENWICH,3325
316,2018,HACKNEY,3965
317,2018,HAMMERSMITH AND FULHAM,2920
318,2018,HARINGEY,3039
319,2018,HARROW,1892
320,2018,HAVERING,2288
321,2018,HILLINGDON,3181
322,2018,HOUNSLOW,2783
323,2018,ISLINGTON,3481
324,2018,KENSINGTON AND CHELSEA,3461
325,2018,KINGSTON UPON THAMES,1588
326,2018,LAMBETH,4177
327,2018,LEWISHAM,3826
328,2018,MERTON,1764
329,2018,NEWHAM,3361
330,2018,REDBRIDGE,2491
331,2018,RICHMOND UPON THAMES,1751
332,2018,SOUTHWARK,4693
333,2018,SUTTON,1687
334,2018,TOWER HAMLETS,4341
335,2018,WALTHAM FOREST,3000
336,2018,WANDSWORTH,3019
337,2018,WESTMINSTER,8401
338,2019,BARKING AND DAGENHAM,2006
339,2019,BARNET,3427
340,2019,BEXLEY,2241
341,2019,BRENT,3270
342,2019,BROMLEY,3207
343,2019,CAMDEN,5011
344,2019,CITY OF LONDON,1288
345,2019,CROYDON,4038
346,2019,EALING,3523
347,2019,ENFIELD,3151
348,2019,GREENWICH,3182
349,2019,HACKNEY,4152
350,2019,HAMMERSMITH AND FULHAM,2799
351,2019,HARINGEY,3005
352,2019,HARROW,1777
353,2019,HAVERING,2123
354,2019,HILLINGDON,3319
355,2019,HOUNSLOW,2825
356,2019,ISLINGTON,3371
357,2019,KENSINGTON AND CHELSEA,3449
358,2019,KINGSTON UPON THAMES,1487
359,2019,LAMBETH,4229
360,2019,LEWISHAM,3689
361,2019,MERTON,1719
362,2019,NEWHAM,3375
363,2019,REDBRIDGE,2386
364,2019,RICHMOND UPON THAMES,1663
365,2019,SOUTHWARK,4561
366,2019,SUTTON,1734
367,2019,TOWER HAMLETS,4465
368,2019,WALTHAM FOREST,2972
369,2019,WANDSWORTH,3144
370,2019,WESTMINSTER,8314
371,2020,BARKING AND DAGENHAM,254
372,2020,BARNET,533
373,2020,BEXLEY,324
374,2020,BRENT,448
375,2020,BROMLEY,432
376,2020,CAMDEN,738
377,2020,CITY OF LONDON,189
378,2020,CROYDON,655
379,2020,EALING,573
380,2020,ENFIELD,487
381,2020,GREENWICH,455
382,2020,HACKNEY,640
383,2020,HAMMERSMITH AND FULHAM,486
384,2020,HARINGEY,478
385,2020,HARROW,249
386,2020,HAVERING,280
387,2020,HILLINGDON,490
388,2020,HOUNSLOW,435
389,2020,ISLINGTON,506
390,2020,KENSINGTON AND CHELSEA,558
391,2020,KINGSTON UPON THAMES,211
392,2020,LAMBETH,658
393,2020,LEWISHAM,594
394,2020,MERTON,279
395,2020,NEWHAM,521
396,2020,REDBRIDGE,375
397,2020,RICHMOND UPON THAMES,312
398,2020,SOUTHWARK,747
399,2020,SUTTON,227
400,2020,TOWER HAMLETS,647
401,2020,WALTHAM FOREST,412
402,2020,WANDSWORTH,483
403,2020,WESTMINSTER,1315
